"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL3104551";"";"";"Small molecule";"";"445.52";"6";"9";"2.10";"114.42";"6";"3";"0";"7";"N";"0.52";"None";"7.02";"1.23";"1.07";"3";"MOL";"-1";"31";"7";"4";"0";"445.1472";"-1.31";"NEUTRAL";"C22H24FN3O4S";"Cc1c(C(N)C(=O)NCCO)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1cccc(F)c1";"MSKAWBBFSHBBTI-UHFFFAOYSA-N"
"CHEMBL1814716";"";"";"Small molecule";"";"362.38";"4";"4";"4.59";"54.37";"2";"1";"0";"5";"N";"0.87";"4.31";"None";"5.14";"2.18";"2";"MOL";"-1";"25";"3";"1";"0";"340.1475";"0.22";"ACID";"C21H20FNaO3";"CC(C(=O)[O-])c1ccc(CC2CCCC2=O)c(-c2ccc(F)cc2)c1.[Na+]";"DLNLQIMPTPAKPR-UHFFFAOYSA-M"
"CHEMBL3893521";"";"";"Small molecule";"";"410.54";"3";"7";"3.82";"58.56";"6";"0";"0";"6";"N";"0.58";"None";"3.43";"3.65";"3.65";"3";"MOL";"-1";"29";"6";"0";"0";"410.1776";"-1.70";"NEUTRAL";"C22H26N4O2S";"Cc1cc(C)c2c(OCCCC(=O)N3CCN(c4ccccc4)CC3)nsc2n1";"ITVYFXAQCRJTCF-UHFFFAOYSA-N"
"CHEMBL3325872";"";"";"Small molecule";"";"429.48";"8";"13";"3.11";"100.69";"9";"2";"0";"5";"N";"0.37";"11.24";"3.72";"4.21";"4.21";"4";"MOL";"-1";"32";"9";"2";"0";"429.1913";"-1.68";"NEUTRAL";"C23H23N7O2";"Cc1nn(-c2ccccc2)c(N2CCOCC2)c1/C=N/Nc1nc2ccccc2nc1O";"UCWKAKPLVUTIMU-BUVRLJJBSA-N"
"CHEMBL3775406";"";"";"Small molecule";"";"385.18";"2";"2";"4.11";"49.33";"2";"2";"0";"4";"N";"0.78";"3.63";"None";"4.64";"1.30";"2";"MOL";"-1";"20";"3";"2";"0";"384.9975";"-1.25";"ACID";"C15H13FINO2";"Cc1ccc(Nc2c(F)cccc2I)c(CC(=O)O)c1";"GRBKEZGRRZAGJM-UHFFFAOYSA-N"
"CHEMBL3978014";"";"";"Small molecule";"";"444.99";"3";"6";"4.47";"58.56";"6";"0";"0";"6";"N";"0.52";"None";"1.57";"4.26";"4.26";"3";"MOL";"-1";"30";"6";"0";"0";"444.1387";"-1.90";"NEUTRAL";"C22H25ClN4O2S";"Cc1cc(C)c2c(OCCCC(=O)N3CCN(c4cccc(Cl)c4)CC3)nsc2n1";"JOFJHDBWCIAMTF-UHFFFAOYSA-N"
"CHEMBL316455";"";"";"Small molecule";"";"429.42";"4";"9";"3.95";"77.98";"5";"1";"0";"2";"N";"0.63";"10.61";"None";"3.91";"3.91";"3";"MOL";"-1";"28";"5";"2";"0";"429.0229";"-1.66";"NEUTRAL";"C17H11F4N3O2S2";"NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)c3c2-c2ccc(F)cc2CS3)cc1";"VRUCBLAUNYFIPA-UHFFFAOYSA-N"
"CHEMBL2380874";"";"";"Small molecule";"";"225.25";"3";"3";"3.91";"39.17";"3";"0";"0";"2";"N";"0.66";"None";"None";"3.28";"3.28";"3";"MOL";"-1";"17";"3";"0";"0";"225.0790";"-1.30";"NEUTRAL";"C14H11NO2";"Cc1onc(-c2ccco2)c1-c1ccccc1";"KXQLLEQKHARGDS-UHFFFAOYSA-N"
"CHEMBL1288556";"";"";"Small molecule";"";"313.06";"3";"3";"3.78";"46.53";"2";"1";"0";"1";"N";"0.86";"2.75";"None";"3.83";"0.34";"1";"MOL";"-1";"19";"3";"1";"0";"311.9568";"0.25";"ACID";"C11H5Cl2F3O3";"O=C(O)C1=Cc2c(Cl)cc(Cl)cc2OC1C(F)(F)F";"KJOSDRUNXOPTEP-UHFFFAOYSA-N"
"CHEMBL1288555";"";"SD-8381";"Small molecule";"";"313.06";"8";"12";"3.78";"46.53";"2";"1";"0";"1";"N";"0.86";"2.74";"None";"3.83";"0.34";"1";"MOL";"-1";"19";"3";"1";"0";"311.9568";"-0.09";"ACID";"C11H5Cl2F3O3";"O=C(O)C1=Cc2cc(Cl)cc(Cl)c2OC1C(F)(F)F";"ZFKBWSREWJOSSJ-UHFFFAOYSA-N"
